n_clients,avg_sign_ms,avg_verify_ms,total_time_s
5,0.0,0.0,48.54379224777222
10,0.0,0.0,50.496198892593384
15,0.0,0.0,55.24189019203186
20,0.0,0.0,66.60112953186035
25,0.0,0.0,56.98307228088379
30,0.0,0.0,68.29043817520142
35,0.0,0.0,68.37742972373962
40,0.0,0.0,70.03586268424988
45,0.0,0.0,75.82318449020386
50,0.0,0.0,75.32010817527771
55,0.0,0.0,75.22132539749146
60,0.0,0.0,80.03978419303894
65,0.0,0.0,67.60062265396118
70,0.0,0.0,51.42708945274353
75,0.0,0.0,54.39874267578125
80,0.0,0.0,55.298741579055786
85,0.0,0.0,55.64799451828003
90,0.0,0.0,56.697351694107056
95,0.0,0.0,412.0070948600769
100,0.0,0.0,68.23244285583496
